127.0.0.1 - - [21/May/2021:21:40:27 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/May/2021:21:40:28 +0700] "GET /nntt/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2021:21:40:30 +0700] "GET /nntt/trang-chu HTTP/1.1" 200 7890
0:0:0:0:0:0:0:1 - - [21/May/2021:21:40:30 +0700] "GET /nntt/template/web/manager-js/playing-music.js HTTP/1.1" 200 3125
0:0:0:0:0:0:0:1 - - [21/May/2021:21:40:30 +0700] "GET /nntt/template/web/music/24h-LyLy-pop.mp3 HTTP/1.1" 206 4138571
0:0:0:0:0:0:0:1 - - [21/May/2021:21:40:32 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [21/May/2021:21:41:51 +0700] "GET /nntt/nghe-sy HTTP/1.1" 200 7205
0:0:0:0:0:0:0:1 - - [21/May/2021:21:41:51 +0700] "GET /nntt/template/web/music/24h-LyLy-pop.mp3 HTTP/1.1" 206 3399680
0:0:0:0:0:0:0:1 - - [21/May/2021:21:48:34 +0700] "GET /nntt/the-loai HTTP/1.1" 200 7179
0:0:0:0:0:0:0:1 - - [21/May/2021:21:48:34 +0700] "GET /nntt/template/web/music/24h-LyLy-pop.mp3 HTTP/1.1" 206 3342336
0:0:0:0:0:0:0:1 - - [21/May/2021:21:48:37 +0700] "GET /nntt/the-loai HTTP/1.1" 200 7179
0:0:0:0:0:0:0:1 - - [21/May/2021:21:48:39 +0700] "GET /nntt/the-loai HTTP/1.1" 200 7179
0:0:0:0:0:0:0:1 - - [21/May/2021:21:48:40 +0700] "GET /nntt/the-loai HTTP/1.1" 200 7179
0:0:0:0:0:0:0:1 - - [21/May/2021:21:48:41 +0700] "GET /nntt/the-loai HTTP/1.1" 200 7179
0:0:0:0:0:0:0:1 - - [21/May/2021:21:48:53 +0700] "GET /nntt/the-loai HTTP/1.1" 200 7179
0:0:0:0:0:0:0:1 - - [21/May/2021:21:49:04 +0700] "GET /nntt/undefined HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [21/May/2021:21:49:04 +0700] "GET /nntt/undefined HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [21/May/2021:21:49:57 +0700] "GET /nntt/the-loai HTTP/1.1" 200 7179
0:0:0:0:0:0:0:1 - - [21/May/2021:21:49:58 +0700] "GET /nntt/template/web/music/24h-LyLy-pop.mp3 HTTP/1.1" 206 3678208
0:0:0:0:0:0:0:1 - - [21/May/2021:21:50:01 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [21/May/2021:21:50:01 +0700] "GET /nntt/template/web/music/24h-LyLy-pop.mp3 HTTP/1.1" 206 4073035
